Model,Team,Condition,Provider,Metric,mean,ci
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.5,0.014
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.52,0.029
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.516,0.016
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.516,0.016
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,OpenAI + AMBOSS,Completeness,0.51,0.018
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Completeness,0.467,0.042
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Completeness,0.496,0.032
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.455,0.042
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.659,0.024
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.492,0.008
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.516,0.035
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.537,0.05
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.557,0.021
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Completeness,0.472,0.029
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.459,0.029
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Google + Anthropic,Completeness,0.634,0.017
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Completeness,0.553,0.048
Gemini 2.0 Flash + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.703,0.044
Gemini 2.0 Flash + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.545,0.016
Gemini 2.0 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.602,0.029
Gemini 2.0 Flash + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Completeness,0.659,0.024
Gemini 2.0 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Completeness,0.533,0.029
Gemini 2.0 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Completeness,0.663,0.01
Gemini 2.0 Flash + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,Completeness,0.663,0.016
Gemini 2.0 Flash + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.627,0.026
Gemini 2.5 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Completeness,0.537,0.041
Gemini 2.5 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.634,0.024
Gemini 2.5 Flash + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Completeness,0.615,0.012
Gemini 2.5 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Completeness,0.553,0.021
Gemini 2.5 Flash + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,Completeness,0.673,0.021
Gemini 2.5 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Completeness,0.622,0.02
Gemini 2.5 Pro + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Completeness,0.496,0.008
Gemini 2.5 Pro + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.729,0.04
Gemini 2.5 Pro + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.549,0.028
Gemini 2.5 Pro + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.591,0.024
Gemini 2.5 Pro + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Completeness,0.589,0.035
Gemini 2.5 Pro + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Completeness,0.541,0.027
Gemini 2.5 Pro + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,Completeness,0.618,0.028
Gemini 2.5 Pro + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Completeness,0.537,0.014
Gemini 2.5 Pro + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,Completeness,0.537,0.014
Gemini 2.5 Pro + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Completeness,0.52,0.016
Llama 4 Maverick + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,Completeness,0.593,0.022
Llama 4 Maverick + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,Completeness,0.463,0.055
Llama 4 Maverick + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Completeness,0.646,0.028
Llama 4 Maverick + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Completeness,0.492,0.029
Llama 4 Maverick + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Completeness,0.581,0.021
Llama 4 Maverick + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,Completeness,0.549,0.028
Llama 4 Maverick + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,Completeness,0.606,0.029
Llama 4 Maverick + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Meta + AMBOSS,Completeness,0.643,0.017
Llama 4 Maverick + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,Completeness,0.497,0.016
Llama 4 Maverick + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,Completeness,0.504,0.021
Llama 4 Maverick + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Completeness,0.476,0.014
Llama 4 Scout + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,Completeness,0.61,0.014
Llama 4 Scout + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,Completeness,0.537,0.021
Llama 4 Scout + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Completeness,0.654,0.032
Llama 4 Scout + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Completeness,0.512,0.014
Llama 4 Scout + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Completeness,0.581,0.021
Llama 4 Scout + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,Completeness,0.659,0.028
Llama 4 Scout + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,Completeness,0.618,0.023
Llama 4 Scout + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,Completeness,0.587,0.012
Llama 4 Scout + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,Completeness,0.591,0.011
Llama 4 Scout + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Completeness,0.577,0.029
o3 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Completeness,0.534,0.025
o3 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Completeness,0.358,0.044
o3 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.537,0.05
o3 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.435,0.032
o3 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.447,0.016
o3 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.411,0.029
o3 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Completeness,0.52,0.021
o3 mini + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Completeness,0.264,0.021
o3 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Completeness,0.28,0.014
o3 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Completeness,0.268,0.028
DeepSeek R1 + DeepSeek R1 + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + DeepSeek,Completeness,0.5,0.034
DeepSeek R1 + DeepSeek R1 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + OpenAI,Completeness,0.498,0.024
DeepSeek R1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Anthropic,Completeness,0.614,0.019
DeepSeek R1 + Gemini 2.0 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,Completeness,0.583,0.013
DeepSeek R1 + Gemini 2.0 Flash + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + AMBOSS,Completeness,0.633,0.026
DeepSeek R1 + Gemini 2.5 Flash + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,Completeness,0.558,0.033
DeepSeek R1 + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,Completeness,0.587,0.016
DeepSeek R1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,Completeness,0.544,0.014
GPT-5 + GPT-5 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + OpenAI + OpenAI,Completeness,0.451,0.023
Gemini 2.0 Flash + Claude 3.7 Sonnet + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + Google,Completeness,0.573,0.01
Gemini 2.0 Flash + Claude 3.7 Sonnet + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + AMBOSS,Completeness,0.636,0.013
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Completeness,0.561,0.037
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Completeness,0.598,0.036
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Completeness,0.543,0.026
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + DeepSeek,Completeness,0.539,0.024
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Completeness,0.568,0.022
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Completeness,0.535,0.02
Gemini 2.5 Flash + Llama 4 Maverick + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + DeepSeek,Completeness,0.573,0.024
Gemini 2.5 Flash + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + OpenAI,Completeness,0.59,0.022
Gemini 2.5 Flash + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + Google,Completeness,0.565,0.02
Gemini 2.5 Pro + GPT-5 mini + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + OpenAI,Completeness,0.566,0.029
Gemini 2.5 Pro + GPT-5 mini + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + AMBOSS,Completeness,0.6,0.026
Gemini 2.5 Pro + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Completeness,0.553,0.02
Gemini 2.5 Pro + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Completeness,0.522,0.028
Llama 4 Maverick + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,Completeness,0.593,0.016
Llama 4 Maverick + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Completeness,0.495,0.01
Llama 4 Scout + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + DeepSeek,Completeness,0.618,0.022
Llama 4 Scout + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,Completeness,0.599,0.026
Llama 4 Scout + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Google,Completeness,0.618,0.023
Llama 4 Scout + Gemini 2.5 Pro + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + AMBOSS,Completeness,0.66,0.023
Llama 4 Scout + Gemini 2.5 Pro + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Meta,Completeness,0.628,0.05
Llama 4 Scout + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,Completeness,0.534,0.027
Llama 4 Scout + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,Completeness,0.615,0.031
Llama 4 Scout + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Completeness,0.593,0.014
Llama 4 Scout + Llama 4 Maverick + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Completeness,0.598,0.017
Llama 4 Scout + Llama 4 Scout + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + DeepSeek,Completeness,0.51,0.04
Llama 4 Scout + Llama 4 Scout + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,Completeness,0.537,0.031
Llama 4 Scout + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,Completeness,0.626,0.065
Llama 4 Scout + Llama 4 Scout + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Completeness,0.593,0.012
Llama 4 Scout + Llama 4 Scout + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Completeness,0.595,0.02
Claude 3.7 Sonnet,Solo Models,Advisor,Anthropic,Completeness,0.543,0.011
Claude Haiku 4.5,Solo Models,Advisor,Anthropic,Completeness,0.512,0.019
Claude Sonnet 4.5,Solo Models,Advisor,Anthropic,Completeness,0.51,0.016
DeepSeek R1,Solo Models,Advisor,DeepSeek,Completeness,0.573,0.015
DeepSeek V3.1,Solo Models,Advisor,DeepSeek,Completeness,0.628,0.023
GPT-4.1,Solo Models,Advisor,OpenAI,Completeness,0.618,0.01
GPT-4.1 mini,Solo Models,Advisor,OpenAI,Completeness,0.458,0.013
GPT-4o,Solo Models,Advisor,OpenAI,Completeness,0.565,0.041
GPT-4o mini,Solo Models,Advisor,OpenAI,Completeness,0.332,0.016
GPT-5,Solo Models,Advisor,OpenAI,Completeness,0.502,0.017
GPT-5 mini,Solo Models,Advisor,OpenAI,Completeness,0.505,0.016
GPT-5 nano,Solo Models,Advisor,OpenAI,Completeness,0.438,0.019
Gemini 2.0 Flash,Solo Models,Advisor,Google,Completeness,0.654,0.01
Gemini 2.5 Flash,Solo Models,Advisor,Google,Completeness,0.632,0.012
Gemini 2.5 Pro,Solo Models,Advisor,Google,Completeness,0.583,0.027
Gemini 3 Pro,Solo Models,Advisor,Google,Completeness,0.435,0.026
Glass Health 4.0,Solo Models,Advisor,Glass Health,Completeness,0.52,0.027
Grok 4,Solo Models,Advisor,xAI,Completeness,0.573,0.032
Grok 4 Fast,Solo Models,Advisor,xAI,Completeness,0.554,0.033
Kimi K2,Solo Models,Advisor,Moonshot AI,Completeness,0.637,0.025
AMBOSS LiSA 1.0,Solo Models,Advisor,AMBOSS,Completeness,0.671,0.012
Llama 3.3 70b,Solo Models,Advisor,Meta,Completeness,0.56,0.02
Llama 4 Maverick,Solo Models,Advisor,Meta,Completeness,0.516,0.011
Llama 4 Scout,Solo Models,Advisor,Meta,Completeness,0.579,0.007
Mistral Large 2.1,Solo Models,Advisor,Mistral AI,Completeness,0.498,0.036
Mistral Medium 3.1,Solo Models,Advisor,Mistral AI,Completeness,0.474,0.029
Qwen3 235B,Solo Models,Advisor,Alibaba,Completeness,0.534,0.041
Qwen3 32B,Solo Models,Advisor,Alibaba,Completeness,0.483,0.018
o1,Solo Models,Advisor,OpenAI,Completeness,0.441,0.023
o1 mini,Solo Models,Advisor,OpenAI,Completeness,0.487,0.028
o3 mini,Solo Models,Advisor,OpenAI,Completeness,0.282,0.013
o4 mini,Solo Models,Advisor,OpenAI,Completeness,0.355,0.018
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Anthropic + Anthropic,Escalation,0.766,0.01
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Anthropic + DeepSeek,Escalation,0.723,0.04
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Escalation,0.756,0.01
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Escalation,0.692,0.043
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Escalation,0.627,0.017
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Escalation,0.662,0.026
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Escalation,0.754,0.037
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Escalation,0.647,0.01
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Escalation,0.652,0.02
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Escalation,0.647,0.01
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Escalation,0.688,0.031
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Anthropic + AMBOSS,Escalation,0.684,0.018
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,DeepSeek + Anthropic,Escalation,0.782,0.022
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,DeepSeek + DeepSeek,Escalation,0.743,0.017
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Escalation,0.657,0.017
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Escalation,0.752,0.018
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Escalation,0.783,0.012
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Escalation,0.774,0.018
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,DeepSeek + AMBOSS,Escalation,0.782,0.018
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,Escalation,0.75,0.015
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Escalation,0.734,0.012
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Escalation,0.746,0.017
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.821,0.029
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.667,0.035
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.652,0.01
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Escalation,0.736,0.02
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Escalation,0.776,0.045
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Escalation,0.716,0.017
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Escalation,0.716,0.017
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.701,0.017
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Escalation,0.657,0.034
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.771,0.054
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.655,0.019
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.597,0.034
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Escalation,0.637,0.039
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Escalation,0.692,0.01
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Escalation,0.667,0.054
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,OpenAI + AMBOSS,Escalation,0.669,0.017
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Escalation,0.632,0.02
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Escalation,0.647,0.035
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.622,0.026
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.749,0.019
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.607,0.01
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Escalation,0.542,0.026
